address,born_chain,born_time,,value
0x3abd3d419584f12e74624a79ec170a5bd55d0c9a,born_chain： eth,born_time： 2022-06-26 17：38：40,usd,1619.518459
0x789208725b3d3db6fa04874191afa0cdce12445d,born_chain： eth,born_time： 2022-06-26 17：36：20,usd,1623.598138
0x25b3143ac7fe891527f476be11f849565779496c,born_chain： eth,born_time： 2022-06-26 17：30：14,usd,1599.753312
0x295d73c00d738d4be3594f76907aaeb7d89ea97f,born_chain： eth,born_time： 2022-06-26 17：27：29,usd,1601.282664
0x85211199fd494fc67e7cbb6f86efe52d33a36136,born_chain： eth,born_time： 2022-06-26 17：24：51,usd,1639.65477
0x7bfa381ea9928307a66fd7f802de5479a6060575,born_chain： eth,born_time： 2022-06-26 17：20：17,usd,1615.023988
0x4d69792c0c293201acc472dbeb6fd2f8f8d06e9e,born_chain： eth,born_time： 2022-06-26 17：14：35,usd,1607.25728
0x374813ae02b12b53e492a7b1e667fef1c4dc25a7,born_chain： eth,born_time： 2022-06-26 17：13：35,usd,1578.133119
0x42578cfcff10646096cf0287bd1a3e01e5638b74,born_chain： eth,born_time： 2022-06-26 17：08：31,usd,1637.73147
0x61a84e3a68eb65056037a7dcb74151aa9e5cd7c0,born_chain： eth,born_time： 2022-06-26 16：59：48,usd,1611.111334
0x4f9a45826332ba6598d037eeaf0eea8b0c27324c,born_chain： eth,born_time： 2022-06-26 16：59：48,usd,1564.016626
0x227603cc99be285a886c4d329456614a689e2403,born_chain： eth,born_time： 2022-06-26 16：59：07,usd,1624.198848
0x4dc66689d96a41540a39811ac845fc144b5dc0a4,born_chain： eth,born_time： 2022-06-26 16：56：31,usd,1531.229187
0x27c26d06913e351e5ba7c0b9fcfb5f09a096f8e7,born_chain： eth,born_time： 2022-06-26 16：51：35,usd,1611.192505
0x61cb86e300edd6f3b5a0e0d8a9b679accdfaba61,born_chain： eth,born_time： 2022-06-26 16：48：55,usd,1580.779394
0x5388fc070575f01e183e339a865f798b3f074049,born_chain： eth,born_time： 2022-06-26 16：48：14,usd,1587.831404
0x164e13c3ad089118e7407c2899ddbe66a8bfe230,born_chain： eth,born_time： 2022-06-26 16：45：40,usd,1592.592408
0x1ed8c5498ec4a31462cea5863bd623d8e4b608ce,born_chain： eth,born_time： 2022-06-26 16：39：34,usd,1617.412732
0x30f55a1d816b5c531d31ffbf73babb9a61ce04ce,born_chain： eth,born_time： 2022-06-26 16：38：00,usd,1579.242829
0x856f198dd0e1f73ad93e22e8b4db0ef10224c4fa,born_chain： eth,born_time： 2022-06-26 16：38：00,usd,1612.943317
0x53af5f9da7ef78a1c70f672f2b2da55dfc05df2c,born_chain： eth,born_time： 2022-06-26 16：17：02,usd,1562.058515
0x8420e78fc19824ed66252cfba0ec41dd19182234,born_chain： eth,born_time： 2022-06-26 16：13：52,usd,1543.074386
0x3ebad971b947e519f77a6211211b80bd379b4b2f,born_chain： eth,born_time： 2022-06-26 16：10：35,usd,1599.905197
0x2c698cfac24c003c38d3519f8691cf5c47ffa61d,born_chain： eth,born_time： 2022-06-26 15：55：13,usd,1560.766287
0x4a51f1159c58d9fef8a81ea773f58ccbc337cec6,born_chain： eth,born_time： 2022-06-26 15：51：57,usd,1551.015635
0x3ccc269660d571121a141624c0d96180e9f01c9f,born_chain： eth,born_time： 2022-06-26 15：39：16,usd,1615.391213
0x3230a1c7771dd04485bdc0ad9ada0f2b52b5998b,born_chain： eth,born_time： 2022-06-26 15：38：28,usd,1649.172503
0x884cc344e7eaa94ee64e3082acf9e0ca7d6031e9,born_chain： eth,born_time： 2022-06-26 15：34：39,usd,1598.164162
0x44b6b39a940f476d2dd4c54a5f480da770503117,born_chain： eth,born_time： 2022-06-26 03：20：35,usd,1602.27433
0x7d379fb36b9e72cd9a12b163d4a8acdb503d4931,born_chain： eth,born_time： 2022-06-26 03：14：08,usd,1624.203988
0x3f28b88b8bf026de4951af97784aba7b22d1476c,born_chain： eth,born_time： 2022-06-26 01：01：21,usd,1619.960532
0x3e952bc17020c467eafee32e6bd8881e67467c27,born_chain： eth,born_time： 2022-06-26 01：00：35,usd,1588.08199
