address ,Time of first entry,First entry amount,
0x10f4349dbf0c884985e500e496aaf22269121186,2023-05-10 15:39:05.000 UTC,2.50E+16,0.025
0x12c283193531e0ba73de20c05d50886a7d27b06c,2023-05-10 15:45:22.000 UTC,2.35E+16,0.0235
0x13b5e16e77239c9d56b7373d7e4d99bf0c49ea78,2023-05-10 15:33:39.000 UTC,2.54E+16,0.0254
0x156b1256fb0e7491eabd80c1af057404e865d66a,2023-05-10 15:47:44.000 UTC,2.27E+16,0.0227
0x249251722de4fb8779f90ad4047970c3647fb544,2023-05-06 19:20:16.000 UTC,2.31E+16,0.0231
0x351a221208bc7ef76768a18d5eb0f862e9c0d351,2023-05-06 19:09:19.000 UTC,2.62E+16,0.0262
0x3918b9de65ad09b3d4baf632940a63d00d11acc9,2023-05-10 15:36:22.000 UTC,2.50E+16,0.025
0x3fd13bda29e41e73bc3bfa1152e48e27a96fa7d2,2023-05-10 15:33:08.000 UTC,2.27E+16,0.0227
0x46b6f8f8a27beebe50ce2d28d0b6d2a12d6f1813,2023-05-06 20:31:33.000 UTC,2.48E+16,0.0248
0x4868fa700634c4d956e9acfb821a4537de2a1912,2023-05-06 20:40:54.000 UTC,2.60E+16,0.026
0x5413e86c0272e2d404cf20f1554019b8252faf89,2023-05-06 19:26:38.000 UTC,2.68E+16,0.0268
0x5b1812538581f25a6463b7d0fbe0ee1cb47f6f93,2023-05-06 20:45:46.000 UTC,2.73E+16,0.0273
0x64adccc94540185bd22b251ff1f25ca4d4c82919,2023-05-06 19:18:14.000 UTC,2.49E+16,0.0249
0x661670bee3541636e9f7da20c37e68a1d8741a53,2023-05-06 20:29:40.000 UTC,2.61E+16,0.0261
0x67d9bae4889f1966015b215bc36e411c699a18bd,2023-05-10 15:37:29.000 UTC,2.39E+16,0.0239
0x69ac4391c5bda6fab3ecd8d89bdf6807979c2f43,2023-05-10 15:30:35.000 UTC,2.42E+16,0.0242
0x6ee8b7eca5356e01cbc732b1ea937865d44dd532,2023-05-06 19:08:42.000 UTC,2.32E+16,0.0232
0x6f9f64470aede5cfa0bb6192a3ba2f1f2f600d18,2023-05-06 19:10:53.000 UTC,2.53E+16,0.0253
0x74c4e72d824aa8f89c68f66fd6bced10d0889716,2023-05-06 20:50:40.000 UTC,2.43E+16,0.0243
0x7d899501309af7eca638b63e477b01547679d084,2023-05-06 19:23:30.000 UTC,2.53E+16,0.0253
0x8824c6a38f4f034223663b64274e6e13989d4baf,2023-05-10 15:47:16.000 UTC,2.46E+16,0.0246
0x8f4a9655f6107f41b28355a5c22056c40d2d7337,2023-05-06 19:22:34.000 UTC,2.38E+16,0.0238
0x91bef42cec543c7c413edc7b821d40b13f19f776,2023-05-06 20:54:13.000 UTC,2.73E+16,0.0273
0xaecc976fdb3c1310a9fb45add8c309ffd1c058e8,2023-05-06 20:27:36.000 UTC,2.61E+16,0.0261
0xb6843e40eba8bb2b9e3376b811f2ab138d846058,2023-05-10 15:36:53.000 UTC,2.38E+16,0.0238
0xc3eef2085884e2e60722ea47109907789f85981a,2023-05-06 20:53:41.000 UTC,2.40E+16,0.024
0xccdbf7e25a3a57ba0206001687a9199d52106033,2023-05-06 19:11:50.000 UTC,2.45E+16,0.0245
0xcfe154c0a8742368079b76e22fd55fc7ab125184,2023-05-06 20:35:06.000 UTC,2.65E+16,0.0265
0xee3c7a42e5bb88f74228d033650b11b542a9c66e,2023-05-06 19:27:23.000 UTC,2.44E+16,0.0244
0xeecca177770b81e4a48499a3f955284663be2529,2023-05-06 19:09:55.000 UTC,2.34E+16,0.0234
0xfd5a8ad8fa9875958ae47b1debc6fe6c74681498,2023-05-06 20:40:07.000 UTC,2.75E+16,0.0275
