address, born_chain, born_day, born_time
0x661670bee3541636e9f7da20c37e68a1d8741a53, arb, 2023-05-07, 04:29:40
0xcfe154c0a8742368079b76e22fd55fc7ab125184, arb, 2023-05-07, 04:35:06
0x46b6f8f8a27beebe50ce2d28d0b6d2a12d6f1813, arb, 2023-05-07, 04:31:33
0xfd5a8ad8fa9875958ae47b1debc6fe6c74681498, arb, 2023-05-07, 04:40:07
0x4868fa700634c4d956e9acfb821a4537de2a1912, arb, 2023-05-07, 04:40:54
0x351a221208bc7ef76768a18d5eb0f862e9c0d351, arb, 2023-05-07, 03:09:19
0xaecc976fdb3c1310a9fb45add8c309ffd1c058e8, arb, 2023-05-07, 04:27:36
0x74c4e72d824aa8f89c68f66fd6bced10d0889716, arb, 2023-05-07, 04:50:40
0x5b1812538581f25a6463b7d0fbe0ee1cb47f6f93, arb, 2023-05-07, 04:45:46
0x6ee8b7eca5356e01cbc732b1ea937865d44dd532, arb, 2023-05-07, 03:08:42
0xccdbf7e25a3a57ba0206001687a9199d52106033, arb, 2023-05-07, 03:11:50
0x5413e86c0272e2d404cf20f1554019b8252faf89, arb, 2023-05-07, 03:26:38
0x7d899501309af7eca638b63e477b01547679d084, arb, 2023-05-07, 03:23:30
0x6f9f64470aede5cfa0bb6192a3ba2f1f2f600d18, arb, 2023-05-07, 03:10:53
0xee3c7a42e5bb88f74228d033650b11b542a9c66e, arb, 2023-05-07, 03:27:23
0x64adccc94540185bd22b251ff1f25ca4d4c82919, arb, 2023-05-07, 03:18:14
0xeecca177770b81e4a48499a3f955284663be2529, arb, 2023-05-07, 03:09:55
0x249251722de4fb8779f90ad4047970c3647fb544, arb, 2023-05-07, 03:20:16
0x8f4a9655f6107f41b28355a5c22056c40d2d7337, arb, 2023-05-07, 03:22:34
0xc3eef2085884e2e60722ea47109907789f85981a, arb, 2023-05-07, 04:53:41
0x156b1256fb0e7491eabd80c1af057404e865d66a, arb, 2023-05-10, 23:47:44
0x91bef42cec543c7c413edc7b821d40b13f19f776, arb, 2023-05-07, 04:54:13
0x67d9bae4889f1966015b215bc36e411c699a18bd, arb, 2023-05-10, 23:37:29
0x12c283193531e0ba73de20c05d50886a7d27b06c, arb, 2023-05-10, 23:45:22
0x8824c6a38f4f034223663b64274e6e13989d4baf, arb, 2023-05-10, 23:47:16
0x3918b9de65ad09b3d4baf632940a63d00d11acc9, arb, 2023-05-10, 23:36:22
0x10f4349dbf0c884985e500e496aaf22269121186, arb, 2023-05-10, 23:39:05
0x3fd13bda29e41e73bc3bfa1152e48e27a96fa7d2, arb, 2023-05-10, 23:33:08
0xb6843e40eba8bb2b9e3376b811f2ab138d846058, arb, 2023-05-10, 23:36:53
0x13b5e16e77239c9d56b7373d7e4d99bf0c49ea78, arb, 2023-05-10, 23:33:39
0x69ac4391c5bda6fab3ecd8d89bdf6807979c2f43, arb, 2023-05-10, 23:30:35
