address,Time of first entry,First entry amount,,Last Trading Hours
0x10f4349dbf0c884985e500e496aaf22269121186,2023-08-18 06:24:11.000 UTC,2.37E+16,0.0237,2024-05-03 18:27:35.000 UTC
0x12c283193531e0ba73de20c05d50886a7d27b06c,2023-08-18 06:29:47.000 UTC,2.39E+16,0.0239,2024-05-03 18:26:47.000 UTC
0x13b5e16e77239c9d56b7373d7e4d99bf0c49ea78,2023-08-18 06:17:47.000 UTC,2.35E+16,0.0235,2024-05-03 18:29:35.000 UTC
0x156b1256fb0e7491eabd80c1af057404e865d66a,2023-08-18 06:31:23.000 UTC,2.37E+16,0.0237,2024-05-03 16:25:11.000 UTC
0x249251722de4fb8779f90ad4047970c3647fb544,2023-08-18 04:14:59.000 UTC,2.35E+16,0.0235,2024-05-02 19:47:23.000 UTC
0x351a221208bc7ef76768a18d5eb0f862e9c0d351,2023-08-18 04:03:59.000 UTC,2.34E+16,0.0234,2024-05-02 19:43:11.000 UTC
0x3918b9de65ad09b3d4baf632940a63d00d11acc9,2023-08-18 06:20:47.000 UTC,2.34E+16,0.0234,2024-05-03 18:27:59.000 UTC
0x3fd13bda29e41e73bc3bfa1152e48e27a96fa7d2,2023-08-18 06:16:35.000 UTC,2.40E+16,0.024,2024-05-03 18:29:11.000 UTC
0x46b6f8f8a27beebe50ce2d28d0b6d2a12d6f1813,2023-08-18 04:46:23.000 UTC,2.38E+16,0.0238,2024-05-02 19:34:11.000 UTC
0x4868fa700634c4d956e9acfb821a4537de2a1912,2023-08-18 04:55:59.000 UTC,2.36E+16,0.0236,2024-05-02 19:27:23.000 UTC
0x5413e86c0272e2d404cf20f1554019b8252faf89,2023-08-18 04:25:11.000 UTC,2.36E+16,0.0236,2024-05-02 19:45:35.000 UTC
0x5b1812538581f25a6463b7d0fbe0ee1cb47f6f93,2023-08-18 04:59:47.000 UTC,2.35E+16,0.0235,2024-05-02 19:29:23.000 UTC
0x64adccc94540185bd22b251ff1f25ca4d4c82919,2023-08-18 04:13:59.000 UTC,2.32E+16,0.0232,2024-05-02 19:47:23.000 UTC
0x661670bee3541636e9f7da20c37e68a1d8741a53,2023-08-18 04:45:59.000 UTC,2.32E+16,0.0232,2024-05-02 19:33:59.000 UTC
0x67d9bae4889f1966015b215bc36e411c699a18bd,2023-08-18 06:22:23.000 UTC,2.38E+16,0.0238,2024-05-03 18:27:35.000 UTC
0x69ac4391c5bda6fab3ecd8d89bdf6807979c2f43,2023-08-18 06:13:47.000 UTC,2.34E+16,0.0234,2024-05-03 18:29:35.000 UTC
0x6ee8b7eca5356e01cbc732b1ea937865d44dd532,2023-08-18 04:01:59.000 UTC,2.39E+16,0.0239,2024-05-02 11:27:35.000 UTC
0x6f9f64470aede5cfa0bb6192a3ba2f1f2f600d18,2023-08-18 04:07:11.000 UTC,2.36E+16,0.0236,2024-05-02 19:47:11.000 UTC
0x74c4e72d824aa8f89c68f66fd6bced10d0889716,2023-08-18 05:02:47.000 UTC,2.40E+16,0.024,2024-05-02 19:34:59.000 UTC
0x7d899501309af7eca638b63e477b01547679d084,2023-08-18 04:20:11.000 UTC,2.38E+16,0.0238,2024-05-02 19:47:23.000 UTC
0x8824c6a38f4f034223663b64274e6e13989d4baf,2023-08-18 06:30:47.000 UTC,2.35E+16,0.0235,2024-05-03 18:25:59.000 UTC
0x8f4a9655f6107f41b28355a5c22056c40d2d7337,2023-08-18 04:19:23.000 UTC,2.33E+16,0.0233,2024-05-02 19:47:23.000 UTC
0x91bef42cec543c7c413edc7b821d40b13f19f776,2023-08-18 05:37:47.000 UTC,2.39E+16,0.0239,2024-05-02 20:05:59.000 UTC
0xaecc976fdb3c1310a9fb45add8c309ffd1c058e8,2023-08-18 04:44:11.000 UTC,2.37E+16,0.0237,2024-05-02 19:33:23.000 UTC
0xb6843e40eba8bb2b9e3376b811f2ab138d846058,2023-08-18 06:22:11.000 UTC,2.41E+16,0.0241,2024-05-03 18:27:59.000 UTC
0xc3eef2085884e2e60722ea47109907789f85981a,2023-08-18 05:37:23.000 UTC,2.36E+16,0.0236,2024-05-02 20:05:47.000 UTC
0xccdbf7e25a3a57ba0206001687a9199d52106033,2023-08-18 04:08:11.000 UTC,2.36E+16,0.0236,2024-05-02 19:47:11.000 UTC
0xcfe154c0a8742368079b76e22fd55fc7ab125184,2023-08-18 04:48:35.000 UTC,2.37E+16,0.0237,2024-05-02 19:25:59.000 UTC
0xee3c7a42e5bb88f74228d033650b11b542a9c66e,2023-08-18 04:26:35.000 UTC,2.33E+16,0.0233,2024-05-02 19:45:35.000 UTC
0xeecca177770b81e4a48499a3f955284663be2529,2023-08-18 04:05:47.000 UTC,2.40E+16,0.024,2024-05-02 19:47:11.000 UTC
0xfd5a8ad8fa9875958ae47b1debc6fe6c74681498,2023-08-18 04:54:11.000 UTC,2.40E+16,0.024,2024-05-02 19:26:59.000 UTC
